SECTIONS,shipmonth,weight,status,region,TITLED,wgtadj,jstatus,jprice,jsqft,jbedroom,price,sqft,jtitle,jlocation,jfoundation,jsecured,bedrooms,location,foundation,secured,controlid
2,201609,7.1273,2,2,2,1.0426730181784527,I,I,I,I,110000,2200,I,I,I,I,3,3,1,9,16090152
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,154400,2200,R,R,R,R,3,3,1,9,16090153
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,115000,2500,R,R,R,R,3,3,1,9,16090154
2,201609,7.1273,1,2,9,1.0426730181784527,I,I,I,I,118000,2500,9,9,9,9,3,9,9,9,16090155
2,201609,7.1273,2,2,1,1.0426730181784527,I,I,I,I,118000,2500,I,I,I,I,3,1,1,9,16090156
2,201609,7.1273,2,2,1,1.0426730181784527,R,R,R,R,154400,2500,R,R,R,R,3,1,1,9,16090157
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,154400,2500,R,R,R,R,3,3,3,1,16090158
2,201609,7.1273,1,2,9,1.0426730181784527,I,I,I,I,122000,2500,9,9,9,9,3,9,9,9,16090159
2,201609,7.1273,2,2,2,1.0426730181784527,R,I,R,R,122000,2500,R,R,R,R,3,3,3,1,16090160
1,201609,51.392900000000004,1,3,9,0.9102554617405921,I,I,I,I,36000,600,9,9,9,9,1,9,9,9,16090161
1,201609,51.392900000000004,2,3,1,0.9102554617405921,I,I,I,I,36000,600,I,I,I,I,1,3,3,1,16090162
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,I,R,R,36000,600,R,R,R,R,1,1,3,1,16090163
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,I,R,R,36000,600,R,R,R,R,1,1,3,1,16090164
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,37000,800,R,R,R,R,1,1,3,1,16090165
1,201609,51.392900000000004,2,3,1,0.9102554617405921,I,I,I,I,42000,800,I,I,I,I,1,3,3,1,16090166
1,201609,51.392900000000004,2,3,1,0.9102554617405921,R,R,R,R,45000,800,R,R,R,R,1,3,3,1,16090167
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,46000,800,R,R,R,R,1,1,3,1,16090168
1,201609,51.392900000000004,1,3,9,0.9102554617405921,R,R,R,R,30000,900,9,9,9,9,3,9,9,9,16090169
1,201609,51.392900000000004,2,3,3,0.9102554617405921,R,R,R,R,36000,900,R,R,R,R,1,3,3,1,16090170
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,42000,900,R,R,R,R,1,1,3,1,16090171
1,201609,51.392900000000004,2,3,2,0.9102554617405921,I,I,I,I,44000,900,I,I,I,I,1,3,2,1,16090172
1,201609,51.392900000000004,1,3,9,0.9102554617405921,I,I,I,I,45000,900,9,9,9,9,3,9,9,9,16090173
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,I,R,R,45000,900,I,R,R,R,3,3,3,1,16090174
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,33000,1000,R,R,R,R,3,3,3,1,16090175
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,36000,1000,R,R,R,R,3,1,3,1,16090176
1,201609,51.392900000000004,1,3,9,0.9102554617405921,R,R,R,R,45000,1000,9,9,9,9,3,9,9,9,16090177
1,201609,51.392900000000004,2,3,1,0.9102554617405921,I,I,I,I,48000,1000,I,I,I,I,3,3,3,1,16090178
1,201609,51.392900000000004,2,3,2,0.9102554617405921,I,I,I,I,48000,1000,I,I,I,I,1,3,3,1,16090179
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,57000,1000,R,R,R,R,1,3,2,1,16090180
1,201609,51.392900000000004,1,3,9,0.9102554617405921,R,R,R,R,31000,1100,9,9,9,9,3,9,9,9,16090181
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,35000,1100,R,R,R,R,3,3,3,1,16090182
1,201609,51.392900000000004,1,3,9,0.9102554617405921,I,I,I,I,49000,1100,9,9,9,9,3,9,9,9,16090183
1,201609,51.392900000000004,2,3,1,0.9102554617405921,I,I,I,I,49000,1100,I,I,I,I,3,1,3,1,16090184
1,201609,51.392900000000004,1,3,9,0.9102554617405921,I,I,I,I,50000,1100,9,9,9,9,3,9,9,9,16090185
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,I,I,35000,1200,R,R,R,R,3,3,3,1,16090186
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,35000,1200,R,R,R,R,3,3,3,1,16090187
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,37000,1200,R,R,R,R,3,3,1,9,16090188
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,42000,1200,R,R,R,R,3,3,1,9,16090189
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,44000,1200,R,R,R,R,3,3,3,1,16090190
1,201609,51.392900000000004,2,3,1,0.9102554617405921,R,R,R,R,46000,1200,R,R,R,R,3,3,3,1,16090191
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,46000,1200,R,R,R,R,3,3,3,1,16090192
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,50000,1200,R,R,R,R,3,3,2,1,16090193
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,R,R,R,52000,1200,R,R,R,R,3,1,3,1,16090194
1,201609,51.392900000000004,1,3,9,0.9102554617405921,I,I,I,I,54000,1200,9,9,9,9,3,9,9,9,16090195
1,201609,51.392900000000004,1,3,9,0.9102554617405921,I,I,I,I,54000,1200,9,9,9,9,3,9,9,9,16090196
1,201609,51.392900000000004,2,3,2,0.9102554617405921,R,I,I,I,54000,1200,I,I,I,I,3,3,3,1,16090197
1,201609,51.392900000000004,1,3,9,0.9102554617405921,R,R,R,R,55000,1200,9,9,9,9,3,9,9,9,16090198
1,201609,51.392900000000004,1,3,9,0.9102554617405921,R,R,R,R,66600,1200,9,9,9,9,3,9,9,9,16090199
