control,shipmonth,weight,wgtadj,status,region,titled,sections,price,sqft,bedrooms,location,foundation,secured,jstatus,jprice,jsqft,jbedroom,jtitle,jlocation,jfoundation,jsecured
17010231,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010232,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010233,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010234,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010235,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010236,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010237,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010238,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010239,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010240,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010241,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010242,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010243,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010244,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010245,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010246,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010247,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010248,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010249,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010250,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010251,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010252,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
